Abhishek,Pseudopseudohypoparathyroidism,28,0.005,138020
Jerry,Pseudopseudohypoparathyroidism,27,0.002,37.817
Pseudo,Pseudopseudohypoparathyroidism,24,0.003,848.314
hypo,Pseudopseudohypoparathyroidism,26,0.002,1.143
para,Pseudopseudohypoparathyroidism,26,0.002,0.961
thyroidism,Pseudopseudohypoparathyroidism,20,0.004,0
parathyroidism,Pseudopseudohypoparathyroidism,16,0.006,0.001
hypoparathyroidism,Pseudopseudohypoparathyroidism,12,0.007,0.002
pseudohypoparathyroidism,Pseudopseudohypoparathyroidism,6,0.009,0.008
thyroiidism,Pseudopseudohypoparathyroidism,21,0.004,291.902
P,Pseudopseudohypoparathyroidism,29,0.001,0.004
Pseudopseudohypoparathyroidism,Pseudopseudohypoparathyroidism,0,0.01,0.002
